trading_day,expiration_day,strike,ticker
2019-09-20,2019-10-18,210000,AAPL
2019-09-20,2019-10-18,212500,AAPL
2019-09-20,2019-10-18,215000,AAPL
2019-09-20,2019-10-18,217500,AAPL
2019-09-20,2019-10-18,220000,AAPL
2019-09-20,2019-10-18,222500,AAPL
2019-09-20,2019-10-18,225000,AAPL
2019-09-20,2019-10-18,227500,AAPL
2019-09-20,2019-10-18,230000,AAPL
2019-09-20,2019-10-18,232500,AAPL
2019-09-20,2019-10-18,235000,AAPL
2019-10-18,2019-11-15,225000,AAPL
2019-10-18,2019-11-15,227500,AAPL
2019-10-18,2019-11-15,230000,AAPL
2019-10-18,2019-11-15,232500,AAPL
2019-10-18,2019-11-15,235000,AAPL
2019-10-18,2019-11-15,237500,AAPL
2019-10-18,2019-11-15,240000,AAPL
2019-10-18,2019-11-15,242500,AAPL
2019-10-18,2019-11-15,245000,AAPL
2019-10-18,2019-11-15,250000,AAPL
2019-10-18,2019-11-15,255000,AAPL
2019-11-15,2019-12-20,242500,AAPL
2019-11-15,2019-12-20,245000,AAPL
2019-11-15,2019-12-20,250000,AAPL
2019-11-15,2019-12-20,255000,AAPL
2019-11-15,2019-12-20,260000,AAPL
2019-11-15,2019-12-20,265000,AAPL
2019-11-15,2019-12-20,270000,AAPL
2019-11-15,2019-12-20,275000,AAPL
2019-11-15,2019-12-20,280000,AAPL
2019-11-15,2019-12-20,285000,AAPL
2019-11-15,2019-12-20,290000,AAPL
2019-12-20,2020-01-17,260000,AAPL
2019-12-20,2020-01-17,265000,AAPL
2019-12-20,2020-01-17,270000,AAPL
2019-12-20,2020-01-17,275000,AAPL
2019-12-20,2020-01-17,280000,AAPL
2019-12-20,2020-01-17,285000,AAPL
2019-12-20,2020-01-17,290000,AAPL
2019-12-20,2020-01-17,295000,AAPL
2019-12-20,2020-01-17,300000,AAPL
2019-12-20,2020-01-17,305000,AAPL
2019-12-20,2020-01-17,310000,AAPL
2020-01-17,2020-02-21,295000,AAPL
2020-01-17,2020-02-21,300000,AAPL
2020-01-17,2020-02-21,305000,AAPL
